num_age,num_annual_income,num_contract_tenure_years,num_years_with_license,num_vehicle_age,num_annual_mileage,num_previous_claims_count,num_late_payments_count,num_credit_score,num_household_size,num_insured_value,num_monthly_premium,cat_region,cat_vehicle_type,cat_fuel_type,cat_coverage_level,cat_payment_frequency,cat_home_ownership,cat_profession_segment,cat_prior_fraud_flag,text_feature,target,num_irrelevant_0,num_irrelevant_1,num_irrelevant_2,num_irrelevant_3,num_irrelevant_4,num_duplicate_0,num_duplicate_1,num_constant_0,num_collinear_0,num_collinear_1,num_collinear_2
,40742.76572419709,14.0,51.0,,,0.0,1.0,610.4046643301353,2.0,26401.612346636808,101.89572339981238,urbain,berline,essence,tiers,annuel,locataire,cadre,non,"L'ancienneté contractuelle contribue à un profil plutôt maîtrisé. Mots-clés dossier : token_29, trajet, token_47. Les informations disponibles sont compatibles avec une analyse automatisée. Le niveau de paiement observé est globalement correct. L'ancienneté contractuelle contribue à un profil plutôt maîtrisé. Le profil de conduite est rapproché d'un usage classique.",0,1.4102209184787673,-1.1607826310005467,-0.10356892257123643,0.8552285575316106,0.2702880561736886,75.00058732933405,40742.76426470521,1.0,67.97191404071191,35935.365986134144,14.563562661171098
61.0,39464.890617966244,8.0,41.0,8.0,,1.0,0.0,579.7828442007681,4.0,13031.652812169195,105.1645505821653,periurbain,,essence,tiers_plus,mensuel,proprietaire,retraite,non,,0,-1.0876993478101775,-0.49796510732362903,0.6509544562314796,-1.3204461305608821,-1.3276901940457433,61.00103794169454,39464.890249774915,1.0,57.843242015252514,34937.518952008606,7.633092206950375
,32543.387144674212,2.0,34.0,1.0,22797.842561769536,,0.0,736.5571655131967,4.0,6058.064984257167,30.90280671826418,urbain,berline,essence,tiers_plus,mensuel,locataire,sans_emploi,,"Mots-clés dossier : kilométrage, token_35, token_7. Les informations contractuelles sont cohérentes avec la demande en cours. Les informations disponibles sont compatibles avec une analyse automatisée. Le véhicule couvert est de type berline. Le véhicule couvert est de type berline. Le dossier a fait l'objet d'une revue selon le processus standard. L'ancienneté du contrat peut être qualifiée de intermédiaire.",0,1.6747773392442822,0.6471206853745637,-0.11955652756175013,-0.738778765887419,-2.122469298904237,51.999463484508716,32543.387002938558,1.0,44.70582577464073,30921.930348059137,2.0851718490705684
36.0,,,12.0,9.0,21018.465881507473,0.0,0.0,581.521657474726,2.0,,105.01457313982411,,sport,hybride,tous_risques,trimestriel,proprietaire,independant,non,"La fiche client a été révisée lors du dernier contrôle qualité. Les informations contractuelles sont cohérentes avec la demande en cours. Le dossier a fait l'objet d'une revue selon le processus standard. Les informations contractuelles sont cohérentes avec la demande en cours. Mots-clés dossier : token_57, token_3, incident.",0,-0.25700053418916463,,1.3929595201686482,,-1.1436659325622511,35.997764541424175,26377.898898515654,1.0,29.756031297055355,20354.60232318881,22.744936634369253
38.0,31747.18643925248,11.0,16.0,2.0,26193.378130532245,0.0,,642.3326498426492,6.0,16187.703559546604,49.01468723383701,urbain,utilitaire,electrique,tiers,mensuel,proprietaire,,non,"L'historique de sinistres est décrit comme sans antécédent récent. Les éléments déclaratifs ont été consolidés dans le dossier. Les informations disponibles sont compatibles avec une analyse automatisée. Le dossier a fait l'objet d'une revue selon le processus standard. Le client réside principalement en zone urbain. Mots-clés dossier : token_39, token_30, token_46. L'ancienneté du contrat peut être qualifiée de ancienne. Le profil de conduite est rapproché d'un usage intensif.",0,,-0.49266301670096657,,,0.12225818018542167,37.999504389295666,31747.185806587036,,33.44772801575463,,10.066689635313221
,,23.0,,20.0,13579.763067038743,0.0,0.0,756.1562951117857,,23131.02845426521,102.68988600805389,periurbain,citadine,essence,tiers,mensuel,proprietaire,employe,non,"Mots-clés dossier : professionnel, token_31, token_3. Les informations contractuelles sont cohérentes avec la demande en cours. Le gestionnaire a intégré les mises à jour du profil assuré. Le dossier a fait l'objet d'une revue selon le processus standard. Les éléments déclaratifs ont été consolidés dans le dossier. Le client réside principalement en zone periurbain. Les informations disponibles sont compatibles avec une analyse automatisée.",0,1.0118879735084723,0.9196676132638947,,0.2814602134490223,0.47939842770803026,19.99842025633973,30373.238220638323,1.0,,26232.272630875,20.58685220861007
23.0,31153.23802504154,2.0,0.0,18.0,,0.0,1.0,591.8706657941793,,,77.09693765972834,periurbain,,,tous_risques,,proprietaire,,non,"La fiche client a été révisée lors du dernier contrôle qualité. Mots-clés dossier : token_31, retard, professionnel. Le gestionnaire a intégré les mises à jour du profil assuré. Le contexte socioprofessionnel est associé à la catégorie employe. Les informations disponibles sont compatibles avec une analyse automatisée.",1,-0.0934312892116929,0.1809417218235731,-0.059908987743132955,,-0.6298575624224797,22.99876007084179,31153.239949483792,1.0,19.063454101852248,28072.849994663247,
19.0,18352.745099432697,25.0,0.0,11.0,16118.052346569644,0.0,0.0,,2.0,22196.062132798404,56.73247992687498,urbain,citadine,essence,tous_risques,mensuel,,cadre,non,"La fiche client a été révisée lors du dernier contrôle qualité. Mots-clés dossier : token_25, garantie, exposition. Le dossier a fait l'objet d'une revue selon le processus standard. L'ancienneté du contrat peut être qualifiée de ancienne. Les informations contractuelles sont cohérentes avec la demande en cours.",0,0.9848629306480987,-0.057596872496283924,1.3585722906836766,0.7987279333852482,0.4401513350915143,19.000010953597716,18352.743606630265,2.88068073021777,,,
29.0,27318.489847725235,,10.0,19.0,16426.604978888063,1.0,0.0,558.9732291528212,1.0,7526.311759116692,,rural,citadine,diesel,tous_risques,,proprietaire,cadre,non,,0,0.14356774319799664,,-0.12776852351603032,,0.22221559860558085,,27318.48975425322,,26.91042006397078,26747.02208843363,18.18082524380109
73.0,,24.0,54.0,20.0,14078.741599212197,0.0,0.0,716.2944716371594,6.0,36896.633799790885,30.422789504393897,urbain,utilitaire,,tiers,mensuel,proprietaire,cadre,non,,0,,-0.12583479504555273,1.1639326417036373,,-0.6524826965807272,73.00073197176002,37315.618971483505,1.0,65.16030125445286,38592.134680198506,21.21264710331424
